description_pattern,category,min_amount_eur,max_amount_eur
"ANDRE SZATKOWKSI",Expenses:Discretionary,,
"Freie und Hansestadt Hamburg Steuerkasse Hamburg ERSTATT",Income:Refunds,,
"V. ALLWOERDEN",Expenses:Discretionary,,
"Mutterland",Expenses:Discretionary,,
"Privatbrauerei Schalan",Expenses:Discretionary,,
"Novum Management GmbH",Expenses:Travel,,
"Hellofresh",Expenses:Mandatory,,
"LILLEBR",Expenses:Discretionary,,
"SPITZWEG APOTHEKE",Expenses:Mandatory,,
"SHELL EV CHARGING",Expenses:Transportation,,
"famila",Expenses:Mandatory,,
"FRISCHE-AKTIVMARKT",Expenses:Mandatory,,
"Designer Outlet Neumünster",Expenses:Discretionary,,
"STRAßENBRÄU",Expenses:Discretionary,,
"QUAD LOCK",Expenses:Discretionary,,
"Bundeskasse DO Kiel",Expenses:Transportation,,
"Per Lastschrift dankend erhalten",Transfer,,
"BARCLAYS LASTSCHRIFT",Transfer,,
"ALLWÖRDEN",Expenses:Mandatory,,
"AMZN",Expenses:Discretionary,,
"SUPERMARKT",Expenses:Mandatory,,
"VB LÜNEBURGER HEIDE",Expenses:Cash,,
"Bundeskasse - Dienstort Kiel",Expenses:Transportation,,
"VOLKSBANK IM MÜNSTERLAND Münster/Münster/DE",Expenses:Cash,,
"STOERK THOMAS",Expenses:Discretionary,,
"HANSEMERKUR VERS.",Expenses:Insurance,,
"Deutsche Wohnen Management GmbH Betriebskosten",Expenses:Eitelstr,,
"Ausgleich April 2024",Income:Refunds,,
"Some CSV export from depot",Income:Capital Gains,,
"Fake depot to 0 transaction",Income:Capital Gains,,
"Nintendo",Expenses:Discretionary,,
"BUY USD Treasury Bond",Expenses:Investments,,
"DEPOSIT Stefan",Transfer,,
"Stefan Keidel Infusion",Transfer,,
"Storno der Buchung des Auftragsbetrages",Transfer,,
"Stefan Keidel TAN: Auftrag nicht",Transfer,,
"DEPOSIT USD Treasury Bond",Income:Saveback,,
"DIVIDEND USD Treasury Bond",Income:Dividends,,
"VALUE USD Treasury Bond (Dist)",VirtualIncome:Investment Transfers,,
"Stefan Keidel SecureGo plus IBAN",Transfer,,
"Karagon VV GmbH Kautionsauszahlung",Expenses:Eitelstr,,
"Karagon VV GmbH ERSTATTUNG GUTHABEN",Expenses:Eitelstr,,
"KAEFER SERVICE HAMBURG",Expenses:Discretionary,,
"ABBUCHUNG VOM PAYPAL-KONTO EREF: YYW1039246747048",Income:Selling Used Shit,,
"APPLE & EVE",Expenses:Discretionary,,
Apple,Expenses:Subscriptions,-3.00,-2.95
ALSTER-APOTHEKE,Expenses:Mandatory,,
"Ausgleich Dezember 2024",Income:Refunds,,
"Nebenkosten Ausgleich JSW",Expenses:Rent,,
"COPENHAGEN COFFEE LAB",Expenses:Discretionary,,
PayPal,Expenses:Discretionary,-75.96,-75.96
PayPal,Expenses:Discretionary,-1.96,-1.96
PayPal,Expenses:Discretionary,-649.00,-649.00
PayPal%YYW1038975284971,Income:Selling Used Shit,,
Online Payments Foundation Kleinanzeigen,Income:Selling Used Shit,,
GLS Gemeinschaftsbank eG Entgelt für die GLS BankCard,Expenses:Subscriptions,,
VILLA VIVA GASTHAUS GMBH & CO. KG,Expenses:Discretionary,,
BIKEOUTDOOR,Expenses:Bike,,
bc GmbH XB95825,Income:Refunds,,
GLS Gemeinschaftsbk Bochum WP-KAPITALMASSNAHME%KAPST,Expenses:Taxes,,
Ulrich Stahlbock e K   Gartow,Expenses:Mandatory,,
FRISCHKAUF PRILL GMBH,Expenses:Mandatory,,
RESTAURANTE TUTTI GUSTI/Ludwigslust,Expenses:Discretionary,,
PayPal,Expenses:Discretionary,,
CCCV GmbH 38C3,Expenses:Discretionary,,
PayPal,Expenses:Discretionary,-17.35,-17.35
GRILL MINI,Expenses:Discretionary,,
P&P - DRINKS UND GUDE,Expenses:Discretionary,,
LE CROBAG HANNOVER HBF HANNOVER,Expenses:Mandatory,,
Restaurant Sorrento    Wunstorf,Expenses:Discretionary,,
familia,Expenses:Mandatory,,
Shell,Expenses:Transportation,,
DM Drogerie Markt,Expenses:Mandatory,,
Total,Expenses:Transportation,,
HOLSTENTHERME,Expenses:Discretionary,,
CALL A BIKE,Expenses:Transportation,,
RBI CLUE,Expenses:Discretionary,,
ALDI,Expenses:Mandatory,,
LEKÁRNY ipc,Expenses:Travel,,
LEKÁRNY ipc,Expenses:Travel,,
PARKING CENTRUM,Expenses:Travel,,
Grandhotel Nabokov,Expenses:Travel,,
ESSO STATION BURGWEDEL,Expenses:Travel,,
LOKET PARKING,Expenses:Travel,,
SAVOY WESTEND HOTEL,Expenses:Travel,,
BILLA T.G. MASARYKA 10,Expenses:Travel,,
easypark,Expenses:Travel,,
Bagel Lounge,Expenses:Travel,,
Bagel Lounge,Expenses:Travel,,
CSAS,Expenses:Travel,,
Sparkasse Leipzig,Expenses:Travel,,
Restaurace PRESTIGE,Expenses:Travel,,
VOELKERSCHLACHTDENKMAL,Expenses:Travel,,
Star Car GmbH Kraftfah Hamburg,Expenses:Travel,,
Ratskeller Kopenick,Expenses:Discretionary,,
BÄCKEREI SCHREIBER,Expenses:Mandatory,,
MERCAN DOENER,Expenses:Discretionary,,
Gutschrift Manuelle Lastschrift,Transfer,,
WINTERFELDT SCHOKOLADE,Expenses:Discretionary,,
LS BRAUGIER OSTKRE,Expenses:Discretionary,,
LS BRAUGIER OSTKRE,Expenses:Discretionary,,
LS BRAUGIER OSTKRE,Expenses:Discretionary,,
LS BRAUGIER OSTKRE,Expenses:Discretionary,,
Strassenbrau,Expenses:Discretionary,,
EMIL REIMANN,Expenses:Discretionary,,
FIT,Expenses:Discretionary,,
Outdoor Ticket,Expenses:Discretionary,,
Belastung Jahresbeitrag,Expenses:Subscriptions,-69.00,-69.00
Café Luise,Expenses:Discretionary,,
MILES Mobility,Expenses:Transportation,,
Kleinanzeigen,Expenses:Discretionary,-9999999,0
Stefan Keidel Retoure SEPA Ueberweisung,Transfer,,
